split,mean_amp,std_amp,threshold,threshold_std,min_channels,min_duration_sec,num_patients,num_files,num_windows,TP,TN,FP,FN,sensitivity_recall,specificity,precision,f1,accuracy
train,33.106180613463664,51.010977860174286,160.63362526389938,2.5,2,2.0,18,110,138799,862,126994,9248,1695,0.3371,0.9321,0.0853,0.1361,0.9212
val,33.106180613463664,51.010977860174286,160.63362526389938,2.5,2,2.0,3,13,11091,37,10880,15,159,0.1888,0.9986,0.7115,0.2984,0.9843
